,ticker,class_code,figi,uid,type,min_price_increment,scale,lot,trading_status,api_trade_available_flag,currency,exchange,buy_available_flag,sell_available_flag,short_enabled_flag,klong,kshort
892,PWR,SPBXM,BBG000BBL8V7,45d4ad89-1f79-46ae-a400-c3f31e322042,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
893,9999,SPBHKEX,BBG00V6PS1F0,13af8e2a-67e6-4f48-9878-212156828f28,shares,0.10000000,1,10,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,hkd,unknown,False,False,False,0E-8,0E-8
894,MCHP,SPBXM,BBG000BHCP19,22084f5c-5da9-4255-940e-31e597d9c527,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
895,PIKK,TQBR,BBG004S68BH6,03d5e771-fc10-438e-8892-85a40733612d,shares,0.10000000,1,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_DEALER_WEEKEND,True,True,True,2.00000000,2.00000000
896,KMT,SPBXM,BBG000BMWKC5,44a2d008-0c00-4300-a026-1cea16ba571b,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
897,ONTO,SPBXM,BBG000BPRN29,7ea8da3b-5ff4-4127-bc21-46a5df4f8d3a,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
898,NUS,SPBXM,BBG000HG21Y3,ae3e5ded-e01f-4bbe-b1dd-4a31e0a20f21,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
899,DE,SPBXM,BBG000BH1NH9,bd977e65-6813-4ed0-ad3f-92d3863b977c,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
900,LAC,SPBXM,BBG01JLDH7S1,2abbf6a4-4d79-4ef6-bac5-5162e1ce12fc,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
901,HIMS,SPBXM,BBG00Q53VYM7,fa6c3a73-b221-411b-a980-fecc8657a9b4,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
902,PANW,SPBXM,BBG0014GJCT9,f259e5e6-bfbd-4973-ae38-4bf24a64df1c,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
903,DLB,SPBXM,BBG000DGLTG5,e8ff24ab-d27e-4ae1-b26c-5543394c5f40,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
904,ROSN,TQBR,BBG004731354,fd417230-19cf-4e7b-9623-f7c9ca18ec6b,shares,0.05000000,2,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_PLUS_WEEKEND,True,True,True,2.00000000,2.00000000
905,VRTX,SPBXM,BBG000C1S2X2,c1cbc58d-2312-4ff1-9b93-893caf0fdc30,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
906,CF,SPBXM,BBG000BWJFZ4,fa357631-e200-4e9c-969b-2b481507f4a3,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
907,CYBR,SPBXM,BBG006Q52QV2,ddb6ffb6-18df-4305-9e63-6664b1bf8342,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
908,WU,SPBXM,BBG000BB5373,07dfb855-4004-4c0b-bc35-3ffca6452a65,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
909,PNW,SPBXM,BBG000BRDSX5,00357e59-b217-4f1c-a378-25ffa39abc39,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
910,EUTR,TQBR,TCS00A1002V2,02b2ea14-3c4b-47e8-9548-45a8dbcc8f8a,shares,0.05000000,2,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,moex_extended,True,True,True,2.00000000,2.00000000
911,OLLI,SPBXM,BBG0098VVDT9,3312721e-308c-4623-b099-30ad94022ee7,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
912,CELH,SPBXM,BBG000NY37X4,fa8bfbd5-1263-43ac-8f02-7e48c43294f3,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
913,2688,SPBHKEX,BBG000N6X3L4,3d006da6-4d93-48a5-850d-a0e1367aa022,shares,0.10000000,1,10,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,hkd,unknown,False,False,False,0E-8,0E-8
